# x,top,bottom,cryosphere,recharge
6.850000000000000533e-02,7.983879013730595942e-01,2.181407348594733286e-01,6.507632926515879435e-01,nan
6.950000000000000622e-02,7.983722139230469139e-01,2.184116108020669467e-01,6.511978522594514818e-01,nan
7.050000000000000711e-02,7.983565264730342337e-01,2.186824867446605647e-01,6.516324118673150201e-01,nan
7.150000000000000799e-02,7.983408390230215534e-01,2.189533626872542105e-01,6.520669714751784474e-01,nan
7.249999999999999500e-02,7.983251515730087622e-01,2.192242386298478285e-01,6.525015310830419857e-01,nan
7.349999999999999589e-02,7.983094641229960819e-01,2.194951145724414465e-01,6.529360906909055240e-01,nan
7.449999999999999678e-02,7.985452697316366422e-01,2.197659905150350923e-01,6.533706502987689513e-01,nan
7.549999999999999767e-02,7.988444914295843580e-01,2.200368664576287103e-01,6.538052099066324896e-01,nan
7.649999999999999856e-02,7.991437131275320738e-01,2.203077424002223283e-01,6.543309970121675700e-01,nan
7.749999999999999944e-02,7.994429348254797896e-01,2.205786183428159741e-01,6.548605214589376944e-01,nan
7.850000000000000033e-02,7.997421565234273944e-01,2.208494942854095922e-01,6.553900459057079297e-01,nan
7.950000000000000122e-02,8.000413782213751102e-01,2.211203702280032379e-01,6.559195703524781651e-01,nan
8.050000000000000211e-02,8.003405999193228260e-01,2.213912461705968560e-01,6.564490947992482894e-01,nan
8.150000000000000300e-02,8.006398216172705418e-01,2.216621221131904740e-01,6.569786192460185248e-01,nan
8.250000000000000389e-02,8.009390433152181465e-01,2.219329980557841198e-01,6.575081436927887601e-01,nan
8.350000000000000477e-02,8.012382650131658623e-01,2.222038739983777378e-01,6.580376681395588845e-01,nan
8.450000000000000566e-02,8.015374867111135782e-01,2.224747499409713836e-01,6.585671925863291198e-01,nan
8.550000000000000655e-02,8.018367084090612940e-01,2.227456258835650016e-01,6.590967170330993552e-01,nan
8.650000000000000744e-02,8.021497847001465287e-01,2.230165018261586196e-01,6.596262414798695906e-01,nan
8.750000000000000833e-02,8.024834688455781961e-01,2.232873777687522654e-01,6.601557659266397149e-01,nan
8.849999999999999534e-02,8.028171529910099746e-01,2.235582537113458834e-01,6.606852903734099502e-01,nan
8.949999999999999623e-02,8.031508371364417531e-01,2.240460602686472624e-01,6.612148148201801856e-01,nan
